country_iso3,country_name,year,indicator_key,indicator_code,indicator_name,value,source,missing
IRL,Ireland,2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
MEX,Mexico,2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-8.354035,WorldBank,0
MEX,Mexico,2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.048483,WorldBank,0
MEX,Mexico,2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.709757,WorldBank,0
MEX,Mexico,2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.353541,WorldBank,0
MEX,Mexico,2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.427428,WorldBank,0
MEX,Mexico,2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
MEX,Mexico,2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
MEX,Mexico,2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.396834,WorldBank,0
MEX,Mexico,2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",5.689208,WorldBank,0
MEX,Mexico,2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",7.896276,WorldBank,0
MEX,Mexico,2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",5.527961,WorldBank,0
MEX,Mexico,2024,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.722256,WorldBank,0
MEX,Mexico,2025,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
MEX,Mexico,2026,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
MEX,Mexico,2020,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.440000,WorldBank,0
MEX,Mexico,2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.019000,WorldBank,0
MEX,Mexico,2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.256000,WorldBank,0
MEX,Mexico,2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.765000,WorldBank,0
MEX,Mexico,2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.711000,WorldBank,0
MEX,Mexico,2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
MEX,Mexico,2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
MEX,Mexico,2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),1.645842,WorldBank,0
MEX,Mexico,2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),0.386354,WorldBank,0
MEX,Mexico,2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),1.417985,WorldBank,0
MEX,Mexico,2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),6.629295,WorldBank,0
MEX,Mexico,2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),6.022835,WorldBank,0
MEX,Mexico,2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
MEX,Mexico,2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
KOR,"Korea, Rep.",2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-0.700242,WorldBank,0
KOR,"Korea, Rep.",2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.612968,WorldBank,0
KOR,"Korea, Rep.",2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.727565,WorldBank,0
KOR,"Korea, Rep.",2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.583015,WorldBank,0
KOR,"Korea, Rep.",2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.003611,WorldBank,0
KOR,"Korea, Rep.",2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
KOR,"Korea, Rep.",2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
KOR,"Korea, Rep.",2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",0.537288,WorldBank,0
KOR,"Korea, Rep.",2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.498333,WorldBank,0
KOR,"Korea, Rep.",2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",5.089514,WorldBank,0
KOR,"Korea, Rep.",2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.597456,WorldBank,0
KOR,"Korea, Rep.",2024,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.321743,WorldBank,0
KOR,"Korea, Rep.",2025,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
KOR,"Korea, Rep.",2026,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
KOR,"Korea, Rep.",2020,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.931000,WorldBank,0
KOR,"Korea, Rep.",2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",3.639000,WorldBank,0
KOR,"Korea, Rep.",2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.857000,WorldBank,0
KOR,"Korea, Rep.",2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.675000,WorldBank,0
KOR,"Korea, Rep.",2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",2.604000,WorldBank,0
KOR,"Korea, Rep.",2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
KOR,"Korea, Rep.",2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
KOR,"Korea, Rep.",2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),1.195502,WorldBank,0
KOR,"Korea, Rep.",2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),-0.287216,WorldBank,0
KOR,"Korea, Rep.",2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),2.440529,WorldBank,0
KOR,"Korea, Rep.",2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),3.087726,WorldBank,0
KOR,"Korea, Rep.",2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),0.634469,WorldBank,0
KOR,"Korea, Rep.",2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
KOR,"Korea, Rep.",2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
DOM,Dominican Republic,2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-7.929052,WorldBank,0
DOM,Dominican Republic,2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),14.012429,WorldBank,0
DOM,Dominican Republic,2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.237957,WorldBank,0
DOM,Dominican Republic,2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.192298,WorldBank,0
DOM,Dominican Republic,2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.953522,WorldBank,0
DOM,Dominican Republic,2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
DOM,Dominican Republic,2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
DOM,Dominican Republic,2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.781032,WorldBank,0
DOM,Dominican Republic,2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",8.243003,WorldBank,0
DOM,Dominican Republic,2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",8.811092,WorldBank,0
DOM,Dominican Republic,2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",4.785613,WorldBank,0
DOM,Dominican Republic,2024,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",3.302233,WorldBank,0
DOM,Dominican Republic,2025,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
DOM,Dominican Republic,2026,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
DOM,Dominican Republic,2020,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",6.126000,WorldBank,0
